date time sender month day length count word ily miss baby sex sorry insult tired drag n_pos n_neg anger anticipation disgust fear joy sadness surprise trust negative positive
2018-09-09 23 Andrew Sep Sun 19 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Maik Sep Sun 75 13642 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Maik Sep Sun 56 13642 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
2018-09-09 23 Andrew Sep Sun 53 19937 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 14 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 0 Maik Sep Mon 43 13642 8 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0
2018-09-10 0 Andrew Sep Mon 4 19937 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 0 Maik Sep Mon 66 13642 16 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 0 Andrew Sep Mon 6 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 0 Andrew Sep Mon 11 19937 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 0 Maik Sep Mon 52 13642 10 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1
2018-09-10 0 Andrew Sep Mon 15 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
2018-09-10 0 Maik Sep Mon 23 13642 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 0 Andrew Sep Mon 10 19937 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1
2018-09-10 7 Andrew Sep Mon 26 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 7 Maik Sep Mon 27 13642 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 7 Andrew Sep Mon 15 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 7 Andrew Sep Mon 13 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 7 Maik Sep Mon 20 13642 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 7 Andrew Sep Mon 5 19937 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 7 Andrew Sep Mon 33 19937 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 7 Andrew Sep Mon 17 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1
2018-09-10 7 Maik Sep Mon 69 13642 11 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1
2018-09-10 7 Andrew Sep Mon 9 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 10 Andrew Sep Mon 24 19937 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 11 Maik Sep Mon 17 13642 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 13 Andrew Sep Mon 7 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 13 Andrew Sep Mon 31 19937 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 14 Maik Sep Mon 98 13642 16 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0
2018-09-10 14 Andrew Sep Mon 5 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 14 Andrew Sep Mon 9 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 14 Andrew Sep Mon 26 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
2018-09-10 14 Andrew Sep Mon 29 19937 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 14 Maik Sep Mon 20 13642 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-10 14 Maik Sep Mon 61 13642 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 14 Maik Sep Mon 27 13642 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
2018-09-10 14 Andrew Sep Mon 82 19937 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
